Player,Team,Injury,Status,Est. Return
Max Fried,ATL,Forearm,15-Day IL,Subscribers Only
Will Frisch,CHC,Elbow,Out,Subscribers Only
Jace Fry,DET,Elbow,Out,Subscribers Only
Kyle Funkhouser,TEX,Shoulder,60-Day IL,Subscribers Only
Jarlin Garcia,PIT,Biceps,60-Day IL,Subscribers Only
Luis Garcia,HOU,Elbow,15-Day IL,Subscribers Only
Domingo German,NYY,Suspension,Suspension,Subscribers Only
Luis Gil,NYY,Elbow,60-Day IL,Subscribers Only
Lucas Gilbreath,COL,Elbow,60-Day IL,Subscribers Only
Tyler Glasnow,TB,Oblique,15-Day IL,Subscribers Only
Yoendrys Gomez,NYY,Shoulder,7-Day IL,Subscribers Only
Stephen Gonsalves,CHC,Undisclosed,60-Day IL,Subscribers Only
Anthony Gose,CLE,Elbow,60-Day IL,Subscribers Only
Gordon Graceffo,STL,Shoulder,7-Day IL,Subscribers Only
Drew Gray,CHC,Elbow,7-Day IL,Subscribers Only
Chad Green,TOR,Elbow,60-Day IL,Subscribers Only
Connor Grey,NYM,Undisclosed,60-Day IL,Subscribers Only
Michael Grove,LAD,Groin,15-Day IL,Subscribers Only
Sean Guenther,DET,Elbow,7-Day IL,Subscribers Only
Deolis Guerra,OAK,Elbow,60-Day IL,Subscribers Only
Jordan Guerrero,SD,Undisclosed,60-Day IL,Subscribers Only
Vladimir Gutierrez,CIN,Elbow,60-Day IL,Subscribers Only
Ronald Guzman,SF,Forearm,60-Day IL,Subscribers Only
Steven Hajjar,CLE,Undisclosed,7-Day IL,Subscribers Only
Cole Hamels,SD,Shoulder,7-Day IL,Subscribers Only
Ian Hamilton,NYY,Groin,15-Day IL,Subscribers Only
Rohan Handa,SF,Undisclosed,60-Day IL,Subscribers Only
Kyle Hendricks,CHC,Shoulder,15-Day IL,Subscribers Only
Liam Hendriks,CWS,Illness,15-Day IL,Subscribers Only
Edgardo Henriquez,LAD,Elbow,60-Day IL,Subscribers Only
Cole Henry,WAS,Shoulder,7-Day IL,Subscribers Only
Tyler Herb,MIL,Undisclosed,7-Day IL,Subscribers Only
Elieser Hernandez,NYM,Shoulder,60-Day IL,Subscribers Only
Ben Hernandez,KC,Undisclosed,7-Day IL,Subscribers Only
Zack Hess,DET,Elbow,7-Day IL,Subscribers Only
Codi Heuer,CHC,Elbow,60-Day IL,Subscribers Only
Juan Hillman,WAS,Undisclosed,60-Day IL,Subscribers Only
Colton Hock,MIA,Undisclosed,7-Day IL,Subscribers Only
Gunnar Hoglund,OAK,Biceps,7-Day IL,Subscribers Only
Jordan Holloway,CHC,Oblique,60-Day IL,Subscribers Only
Gavin Hollowell,COL,Forearm,7-Day IL,Subscribers Only
Spencer Howard,TEX,Lat,60-Day IL,Subscribers Only
Wei-Chieh Huang,PIT,Undisclosed,60-Day IL,Subscribers Only
Daniel Hudson,LAD,Knee,60-Day IL,Subscribers Only
Luke Jackson,SF,Elbow,60-Day IL,Subscribers Only
Zach Jackson,OAK,Elbow,15-Day IL,Subscribers Only
Joshua Javier,TEX,Undisclosed,60-Day IL,Subscribers Only
Daulton Jefferies,OAK,Elbow,Out,Subscribers Only
Dany Jimenez,OAK,Shoulder,60-Day IL,Subscribers Only
Jackson Jobe,DET,Back,7-Day IL,Subscribers Only
Seth Johnson,BAL,Elbow,60-Day IL,Subscribers Only
Damon Jones,PHI,Shoulder,60-Day IL,Subscribers Only
Tommy Kahnle,NYY,Biceps,60-Day IL,Subscribers Only
Brad Keller,KC,Shoulder,15-Day IL,Subscribers Only
Zack Kelly,BOS,Elbow,60-Day IL,Subscribers Only
Zak Kent,TEX,Oblique,7-Day IL,Subscribers Only
Clayton Kershaw,LAD,Personal,Bereavement,Subscribers Only
Tyler Kinley,COL,Elbow,60-Day IL,Subscribers Only
Andrew Kittredge,TB,Elbow,60-Day IL,Subscribers Only
Tanner Kohlhepp,DET,Elbow,Out,Subscribers Only
Jacob Kostyshock,COL,Undisclosed,7-Day IL,Subscribers Only
Max Kranick,PIT,Elbow,60-Day IL,Subscribers Only
Asa Lacy,KC,Undisclosed,7-Day IL,Subscribers Only
Dinelson Lamet,COL,Back,15-Day IL,Subscribers Only
Eric Lauer,MIL,Shoulder,15-Day IL,Subscribers Only
Derek Law,CIN,Elbow,15-Day IL,Subscribers Only
Dylan Lee,ATL,Shoulder,15-Day IL,Subscribers Only
Ben Leeper,CHC,Elbow,60-Day IL,Subscribers Only
Casey Legumina,CIN,Ankle,15-Day IL,Subscribers Only
Dylan Lesko,SD,Elbow,Out,Subscribers Only
Jesus Liranzo,WAS,Undisclosed,7-Day IL,Subscribers Only
Jonathan Loaisiga,NYY,Elbow,60-Day IL,Subscribers Only
Nick Lodolo,CIN,Lower Leg,15-Day IL,Subscribers Only
Austin Love,STL,Undisclosed,7-Day IL,Subscribers Only
Quinton Low,MIL,Undisclosed,7-Day IL,Subscribers Only
Isaiah Lowe,SD,Undisclosed,7-Day IL,Subscribers Only
Seth Lugo,SD,Calf,15-Day IL,Subscribers Only
Daniel Lynch,KC,Shoulder,15-Day IL,Subscribers Only
Kenta Maeda,MIN,Triceps,15-Day IL,Subscribers Only
Tyler Mahle,MIN,Elbow,60-Day IL,Subscribers Only
Adam Maier,ATL,Elbow,Out,Subscribers Only
Brennan Malone,PIT,Shoulder,60-Day IL,Subscribers Only
Matt Manning,DET,Foot,60-Day IL,Subscribers Only
Joe Mantiply,ARI,Hamstring,15-Day IL,Subscribers Only
German Marquez,COL,Elbow,60-Day IL,Subscribers Only
Brailyn Marquez,CHC,Shoulder,60-Day IL,Subscribers Only
Evan Marshall,LAA,Elbow,7-Day IL,Subscribers Only
Jose Marte,LAA,Elbow,60-Day IL,Subscribers Only
Brett Martin,TEX,Shoulder,60-Day IL,Subscribers Only
Corbin Martin,ARI,Lat,60-Day IL,Subscribers Only
Davis Martin,CWS,Elbow,7-Day IL,Subscribers Only
Bryan Mata,BOS,Shoulder,7-Day IL,Subscribers Only
Tyler Mattison,DET,Undisclosed,7-Day IL,Subscribers Only
Tyler Matzek,ATL,Elbow,60-Day IL,Subscribers Only
Dustin May,LAD,Forearm,60-Day IL,Subscribers Only
Zach McCambley,MIA,Elbow,7-Day IL,Subscribers Only
Lance McCullers,HOU,Forearm,15-Day IL,Subscribers Only
Easton McGee,SEA,Forearm,15-Day IL,Subscribers Only
Christian McGowan,PHI,Elbow,Out,Subscribers Only
Brendan McKay,TB,Elbow,60-Day IL,Subscribers Only
Triston McKenzie,CLE,Shoulder,60-Day IL,Subscribers Only
John Means,BAL,Elbow,60-Day IL,Subscribers Only
Nick Mears,COL,Oblique,15-Day IL,Subscribers Only
Mark Melancon,ARI,Shoulder,60-Day IL,Subscribers Only
Cristofer Melendez,PIT,Personal,Out,Subscribers Only
Max Meyer,MIA,Elbow,60-Day IL,Subscribers Only
Jordan Mikel,CWS,Undisclosed,60-Day IL,Subscribers Only
Nick Mikolajchak,CLE,Elbow,60-Day IL,Subscribers Only
Spencer Miles,SF,Back,7-Day IL,Subscribers Only
Wade Miley,MIL,Lat,15-Day IL,Subscribers Only
Mason Miller,OAK,Elbow,15-Day IL,Subscribers Only
Wyatt Mills,BOS,Elbow,60-Day IL,Subscribers Only
Anthony Misiewicz,ARI,Calf,15-Day IL,Subscribers Only
Casey Mize,DET,Elbow,60-Day IL,Subscribers Only
Frankie Montas,NYY,Shoulder,60-Day IL,Subscribers Only
Bryce Montes de Oca,NYM,Elbow,60-Day IL,Subscribers Only
Sean Mooney,MIN,Shoulder,7-Day IL,Subscribers Only
Andrew Moore,CIN,Undisclosed,60-Day IL,Subscribers Only
Accimia Morales,LAD,Undisclosed,60-Day IL,Subscribers Only
Adrian Morejon,SD,Elbow,60-Day IL,Subscribers Only
Cody Morris,CLE,Lat,60-Day IL,Subscribers Only
Nazier Mule,CHC,Elbow,60-Day IL,Subscribers Only
Andres Munoz,SEA,Shoulder,15-Day IL,Subscribers Only
Penn Murfee,SEA,Elbow,15-Day IL,Subscribers Only
